"day","form","Study ID","Q1","Q1.1","Q2","Q2/joyful_happy","Q2/thrilled_enthusiastic","Q2/calm_relaxed","Q2/accomplished_productive","Q2/upset_angry","Q2/exhausted_tired","Q2/bored_lethargic","Q2/irritated_frustrated","...15","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","PP","PP-F","WB","WB-F","Total","Total-F"
1,1,"P001",-6,0,"bored_lethargic",0,0,0,0,0,0,1,0,2,4,5,5,3,4,5,5,4,6,1,"other",-6,4.2,4,5,5,3.22222222222222,3
2,2,"P001",2,4,"calm_relaxed",0,0,1,0,0,0,0,0,1,1,1,1,0,0,5,5,5,6,0,NA,NA,0.6,1,5.25,5,5.33333333333333,5
3,1,"P001",-1,2.5,"exhausted_tired",0,0,0,0,0,1,0,0,2,4,4,4,3,4,3,4,4,3,0,NA,NA,3.8,4,3.5,4,2.77777777777778,3
6,1,"P001",-2,2,"exhausted_tired",0,0,0,0,0,1,0,0,2,3,3,4,0,3,3,4,4,3,0,NA,NA,2.6,3,3.5,4,3.44444444444444,3
7,1,"P001",1,3.5,"joyful_happy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,NA,NA,0,0,0.75,1,3.66666666666667,4
8,1,"P001",3,4.5,"calm_relaxed",0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,NA,NA,0.2,0,0.75,1,3.55555555555556,4
9,2,"P001",2,4,"exhausted_tired",0,0,0,0,0,1,0,0,3,5,5,1,0,0,1,3,3,3,0,NA,NA,2.2,2,2.5,3,3.22222222222222,3
10,2,"P001",-1,2.5,"irritated_frustrated",0,0,0,0,0,0,0,1,2,3,4,4,0,4,3,3,3,3,0,NA,NA,3,3,3,3,3,3
11,2,"P001",2,4,"calm_relaxed",0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,0,NA,NA,0.8,1,3,3,4.22222222222222,4
12,1,"P001",-1,2.5,"upset_angry",0,0,0,0,1,0,0,0,3,5,5,5,0,5,3,3,3,3,0,NA,NA,4,4,3,3,2.44444444444444,2
13,1,"P001",1,3.5,"calm_relaxed",0,0,1,0,0,0,0,0,2,4,4,0,0,0,3,3,3,3,0,NA,NA,1.6,2,3,3,3.77777777777778,4
14,2,"P001",1,3.5,"calm_relaxed",0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,3,3,3,0,NA,NA,0.2,0,3,3,4.55555555555556,5
15,2,"P001",1,3.5,"calm_relaxed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,NA,NA,0,0,3,3,4.66666666666667,5
16,2,"P001",1,3.5,"calm_relaxed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,NA,NA,0,0,3,3,4.66666666666667,5
17,1,"P001",2,4,"calm_relaxed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,NA,NA,0,0,3,3,4.66666666666667,5
18,2,"P001",4,5,"calm_relaxed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,NA,NA,0,0,3,3,4.66666666666667,5
19,2,"P001",1,3.5,"calm_relaxed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,NA,NA,0,0,3,3,4.66666666666667,5
20,2,"P001",2,4,"calm_relaxed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,NA,NA,0,0,3,3,4.66666666666667,5
