"latitude","longitude","elevation","location","day","time","temperature_2m_mean (°C)","shortwave_radiation_sum (MJ/m²)","et0_fao_evapotranspiration (mm)","daylight_duration (s)","sunshine_duration (s)","precipitation_sum (mm)","precipitation_hours (h)","cloud_cover_mean (%)","dew_point_2m_mean (°C)","pressure_msl_mean (hPa)","surface_pressure_mean (hPa)","wind_gusts_10m_mean (m/s)","wind_speed_10m_mean (m/s)"
13.1107,80.2459,15,"chennai",-300,2024-06-01,32.7,24.22,6.43,46254.1,40146.55,1,4,54,26.8,1003.2,1001.5,9.93,4.75
13.1107,80.2459,15,"chennai",-299,2024-06-02,29.6,21.6,4.98,46271.06,36461.88,22,10,84,25.4,1005.5,1003.8,7.38,3.28
13.1107,80.2459,15,"chennai",-298,2024-06-03,29.1,10.13,2.56,46287.25,2240.59,9.4,8,98,25.4,1006.3,1004.6,5.29,2.29
13.1107,80.2459,15,"chennai",-297,2024-06-04,30,18.49,4.27,46302.66,32401.09,9.6,6,92,26,1006.6,1004.9,5.32,2.25
13.1107,80.2459,15,"chennai",-296,2024-06-05,28.7,13.27,3.14,46317.26,17588.46,35.5,12,97,25.7,1007.2,1005.5,6.62,3.09
13.1107,80.2459,15,"chennai",-295,2024-06-06,27.8,13.11,2.94,46331.05,18000,28.1,19,97,25.4,1007.8,1006.1,6.66,3.13
13.1107,80.2459,15,"chennai",-294,2024-06-07,28.1,9.83,2.49,46344.02,778.49,5.1,11,96,25.2,1006.5,1004.8,6.83,3.54
13.1107,80.2459,15,"chennai",-293,2024-06-08,29.4,18.86,4.77,46356.14,28320.06,2.1,7,88,25,1005.5,1003.8,8.92,4.67
13.1107,80.2459,15,"chennai",-292,2024-06-09,30.2,20.57,5.48,46367.42,36956.07,0.5,2,97,24.4,1005.1,1003.4,8.95,4.49
13.1107,80.2459,15,"chennai",-291,2024-06-10,30.4,21.42,5.52,46377.83,37815.3,7,4,95,24,1004.9,1003.3,8.28,3.91
13.1107,80.2459,15,"chennai",-290,2024-06-11,30.7,19.53,5.64,46387.37,34942.02,10.4,3,100,22.7,1005,1003.4,7.78,3.46
13.1107,80.2459,15,"chennai",-289,2024-06-12,30,13.61,4.39,46396.01,10596.95,0.6,2,100,22.8,1006.4,1004.7,7.36,3.74
13.1107,80.2459,15,"chennai",-288,2024-06-13,30.7,19.43,5.59,46403.76,28865.11,0.1,1,100,22.3,1006.4,1004.7,7.06,3.42
13.1107,80.2459,15,"chennai",-287,2024-06-14,30.7,17.79,5.22,46410.59,29027.19,0.1,1,91,22.7,1005.2,1003.5,6.9,3.4
13.1107,80.2459,15,"chennai",-286,2024-06-15,30.4,15.92,4.7,46416.5,27128.41,2.3,5,95,22.7,1004.6,1002.9,6.14,3.02
13.1107,80.2459,15,"chennai",-285,2024-06-16,30.8,22.12,5.73,46421.46,40273.09,0.2,2,87,24.1,1005,1003.3,7,3.32
13.1107,80.2459,15,"chennai",-284,2024-06-17,31,23.07,6.18,46425.49,39600,0.3,1,88,23.5,1005.2,1003.5,7.7,3.8
13.1107,80.2459,15,"chennai",-283,2024-06-18,31,23.21,6.22,46428.55,41759.96,0.7,3,77,23.9,1004.9,1003.3,8.56,4.15
13.1107,80.2459,15,"chennai",-282,2024-06-19,29.2,21.08,5.18,46430.65,41480.38,16.6,12,85,23.9,1004.4,1002.7,8.01,3.79
13.1107,80.2459,15,"chennai",-281,2024-06-20,29.8,21.21,5.54,46431.77,40917.82,2.1,6,97,23.4,1004.2,1002.5,7.45,3.61
13.1107,80.2459,15,"chennai",-280,2024-06-21,30.1,22.41,6.11,46431.9,40917.2,5.6,5,92,22.7,1003.8,1002.1,8.28,4.14
13.1107,80.2459,15,"chennai",-279,2024-06-22,31.3,21.5,6.4,46431.03,40775.16,0.2,1,96,22.4,1001.9,1000.2,8.35,4.24
13.1107,80.2459,15,"chennai",-278,2024-06-23,31,22.83,6.23,46429.17,40066.16,0.9,4,57,23.1,1001.7,1000,7.89,3.82
13.1107,80.2459,15,"chennai",-277,2024-06-24,30.8,20.8,6.02,46426.32,34565.77,0.2,2,85,23,1001.3,999.6,8.19,4.1
13.1107,80.2459,15,"chennai",-276,2024-06-25,30.9,18.33,5.75,46422.51,36344.77,0.6,3,99,22.7,1001.3,999.6,8.18,4.09
13.1107,80.2459,15,"chennai",-275,2024-06-26,31.4,14.4,5.52,46417.73,13461.14,0.5,4,100,22.2,1001.3,999.6,8.53,4.36
13.1107,80.2459,15,"chennai",-274,2024-06-27,31,14.46,5.39,46412.02,19508.32,1,2,100,22,1003.4,1001.7,8.51,4.23
13.1107,80.2459,15,"chennai",-273,2024-06-28,31.5,20.58,6.46,46405.37,37842.81,0,0,99,22.3,1004.2,1002.5,8.65,4.33
13.1107,80.2459,15,"chennai",-272,2024-06-29,31.5,21.23,6.25,46397.81,38830.1,2.1,2,99,23.5,1005,1003.3,8.69,4.4
13.1107,80.2459,15,"chennai",-271,2024-06-30,30.4,12.71,4.08,46389.34,13924.74,0,0,100,24.7,1006,1004.3,8.33,4.25
13.1107,80.2459,15,"chennai",-270,2024-07-01,30,14.03,4.22,46379.99,20707.45,2,4,100,23.9,1006,1004.3,7.12,3.48
13.1107,80.2459,15,"chennai",-269,2024-07-02,30.7,16.41,5.15,46369.77,27145.36,0,0,100,22.9,1004.5,1002.8,7.58,3.85
13.1107,80.2459,15,"chennai",-268,2024-07-03,31.3,23,6.3,46358.68,40903.71,4.2,6,93,23,1004.8,1003.1,7.45,3.52
13.1107,80.2459,15,"chennai",-267,2024-07-04,30,14.43,4.43,46346.74,18598.02,2.6,3,98,22.7,1006.1,1004.4,6.89,3.29
13.1107,80.2459,15,"chennai",-266,2024-07-05,30.6,21.26,5.78,46333.98,37688.87,0,0,95,23.4,1004.5,1002.8,7.71,3.71
13.1107,80.2459,15,"chennai",-265,2024-07-06,28.7,11.79,3.19,46320.41,9696.34,2.2,9,100,23.5,1004.3,1002.6,5.31,2.65
13.1107,80.2459,15,"chennai",-264,2024-07-07,29.7,18.08,4.93,46306.03,30479.01,1.2,3,100,22.9,1003.9,1002.2,6.61,3.17
13.1107,80.2459,15,"chennai",-263,2024-07-08,28.8,12.62,3.54,46290.87,17745.21,11.6,8,100,23.2,1003.7,1002,6.19,2.94
